Date,Open,High,Low,Close,Adj Close,Volume
2022-02-22,218.100006,224.699997,216.500000,223.050003,218.054550,1022805
2022-02-23,221.050003,224.100006,217.350006,217.899994,213.019882,711585
2022-02-24,202.149994,214.600006,200.550003,210.149994,205.443451,1532054
2022-02-25,213.149994,214.350006,208.449997,213.850006,209.060593,1291124
2022-02-28,209.250000,212.600006,206.500000,212.050003,207.300903,1326889
2022-03-01,212.350006,214.800003,204.050003,204.350006,199.773361,1194002
2022-03-02,201.649994,207.449997,200.500000,205.500000,200.897598,1288244
2022-03-03,205.050003,208.449997,199.020004,200.300003,195.814056,870412
2022-03-04,196.500000,197.639999,187.000000,187.000000,182.811920,1319891
2022-03-07,177.100006,183.399994,170.080002,176.899994,172.938126,2345656
2022-03-08,172.179993,187.059998,172.000000,184.940002,180.798065,1937346
2022-03-09,198.240005,213.050003,195.179993,210.149994,205.443451,2380612
2022-03-10,211.350006,211.800003,196.679993,197.080002,192.666183,1375129
2022-03-11,198.639999,211.300003,198.639999,204.000000,199.431183,1449373
2022-03-14,207.050003,210.850006,205.050003,206.100006,201.484177,1008515
2022-03-15,205.000000,205.500000,197.779999,203.699997,199.137909,1088977
2022-03-16,209.199997,217.699997,208.199997,213.600006,208.816208,1059040
2022-03-17,215.899994,217.199997,210.500000,214.149994,209.353867,845613
2022-03-18,214.250000,216.600006,210.449997,216.600006,211.749008,1788507
2022-03-21,216.500000,219.800003,212.500000,213.550003,208.767319,675895
2022-03-22,215.550003,220.800003,215.550003,216.649994,211.797882,850162
2022-03-23,218.199997,218.399994,211.250000,211.750000,207.007629,825296
2022-03-24,211.149994,213.000000,207.899994,210.350006,205.638977,665266
2022-03-25,213.300003,216.750000,211.649994,212.449997,207.691940,705915
2022-03-28,213.100006,216.550003,212.199997,212.800003,208.034103,509566
2022-03-29,216.949997,218.050003,213.399994,217.800003,212.922134,695529
2022-03-30,218.199997,218.399994,213.600006,216.399994,211.553482,694586
2022-03-31,217.949997,219.149994,211.149994,211.899994,207.154266,750979
2022-04-01,212.199997,213.000000,209.550003,210.100006,205.394592,557422
2022-04-04,211.000000,212.800003,207.250000,212.600006,207.838593,438600
2022-04-05,212.050003,213.899994,208.800003,209.649994,204.954651,403667
2022-04-06,209.149994,209.649994,200.100006,202.500000,197.964798,889488
2022-04-07,203.149994,207.100006,201.500000,203.699997,199.137909,676908
2022-04-08,206.350006,207.850006,203.899994,207.600006,202.950577,635539
2022-04-11,205.149994,205.850006,201.199997,202.399994,197.867035,834750
2022-04-12,200.000000,204.399994,197.360001,202.399994,197.867035,942036
2022-04-13,198.520004,199.740005,194.160004,197.759995,193.330948,755573
2022-04-14,199.179993,201.000000,196.619995,201.000000,196.498383,677070
2022-04-19,198.880005,204.750000,197.759995,203.699997,199.137909,607029
2022-04-20,203.699997,208.750000,200.699997,208.050003,203.390488,563313
2022-04-21,208.050003,208.050003,208.050003,208.050003,203.390488,0
2022-04-22,208.050003,208.050003,208.050003,208.050003,203.390488,0
2022-04-25,194.279999,197.500000,191.539993,192.240005,187.934570,681753
2022-04-26,194.800003,195.199997,188.119995,188.440002,184.219681,819467
2022-04-27,188.440002,188.440002,188.440002,188.440002,184.219681,0
2022-04-28,186.860001,189.100006,184.119995,188.240005,184.024170,687612
2022-04-29,191.619995,195.699997,190.639999,193.720001,189.381424,802122
2022-05-02,190.300003,196.500000,189.580002,194.179993,189.831116,608841
2022-05-03,193.880005,196.520004,190.259995,192.259995,187.954117,743302
2022-05-04,192.000000,195.360001,191.360001,193.800003,189.459641,524861
2022-05-05,198.979996,201.000000,187.119995,188.220001,184.004608,935816
2022-05-06,188.220001,188.220001,188.220001,188.220001,184.004608,0
2022-05-09,176.660004,180.960007,173.539993,173.539993,169.653381,855795
2022-05-10,176.240005,178.880005,173.360001,173.360001,169.477402,881941
2022-05-11,176.300003,183.860001,175.199997,181.860001,177.787048,0
2022-05-12,176.559998,182.100006,174.899994,180.479996,176.437943,871044
2022-05-13,180.479996,180.479996,180.479996,180.479996,179.724121,0
2022-05-16,179.460007,181.679993,177.820007,180.059998,179.305878,648134
2022-05-17,181.899994,186.820007,180.440002,183.300003,182.532318,630018
2022-05-18,183.399994,184.080002,175.139999,175.979996,175.242966,782072
2022-05-19,175.979996,175.979996,175.979996,175.979996,175.242966,0
2022-05-20,170.240005,175.339996,168.300003,172.800003,172.076294,1035957
2022-05-23,176.419998,177.100006,172.440002,175.479996,174.745071,563180
2022-05-24,172.720001,175.279999,170.839996,171.199997,170.482986,671631
2022-05-25,171.199997,171.199997,171.199997,171.199997,170.482986,0
2022-05-26,173.300003,177.199997,173.000000,176.759995,176.019699,578826
2022-05-27,176.759995,176.759995,176.759995,176.759995,176.019699,0
2022-05-30,176.759995,176.759995,176.759995,176.759995,176.019699,0
2022-05-31,184.000000,187.419998,183.419998,184.460007,183.687469,2335439
2022-06-01,185.960007,186.399994,181.759995,182.440002,181.675919,536496
2022-06-02,182.440002,182.440002,182.440002,182.440002,181.675919,0
2022-06-03,182.440002,182.440002,182.440002,182.440002,181.675919,0
2022-06-06,188.979996,190.100006,186.740005,188.339996,187.551208,364755
2022-06-07,186.339996,187.080002,182.559998,186.000000,185.221008,582973
2022-06-08,188.320007,188.839996,184.479996,186.979996,186.196899,473052
2022-06-09,185.000000,186.059998,180.720001,181.399994,180.640274,732106
2022-06-10,179.699997,180.399994,175.699997,175.699997,174.964142,775997
2022-06-13,172.039993,174.679993,169.479996,169.679993,168.969345,776499
2022-06-14,167.399994,169.500000,164.539993,164.539993,163.850876,1062155
2022-06-15,166.440002,169.220001,165.460007,166.440002,165.742935,831136
2022-06-16,165.059998,165.559998,160.259995,162.000000,161.321518,1138297
2022-06-17,162.940002,167.600006,162.320007,166.000000,165.304779,1320969
2022-06-20,169.000000,169.100006,164.960007,166.520004,165.822601,326764
2022-06-21,166.360001,169.119995,165.839996,166.080002,165.384445,429834
2022-06-22,163.639999,167.039993,161.240005,164.979996,164.289047,540977
2022-06-23,163.960007,168.160004,163.600006,167.059998,166.360336,778648
2022-06-24,166.779999,172.779999,165.779999,170.360001,169.646515,702379
2022-06-27,172.199997,175.839996,171.240005,171.880005,171.160156,512511
2022-06-28,171.240005,173.139999,169.460007,170.320007,169.606689,877385
2022-06-29,167.059998,171.979996,166.759995,170.020004,169.307938,610797
2022-06-30,167.880005,169.179993,165.160004,168.759995,168.053207,810125
2022-07-01,166.820007,169.800003,165.699997,167.639999,166.937897,541621
2022-07-04,168.259995,169.339996,166.539993,167.660004,166.957825,293699
2022-07-05,168.880005,170.059998,165.199997,166.240005,165.543777,659231
2022-07-06,166.220001,166.479996,157.259995,164.539993,163.850876,1197296
2022-07-07,164.740005,169.839996,164.339996,169.279999,168.571030,593396
2022-07-08,168.539993,169.699997,165.259995,168.460007,167.754471,565195
2022-07-11,165.100006,166.699997,162.119995,163.080002,162.397003,0
2022-07-12,163.080002,163.080002,163.080002,163.080002,162.397003,0
2022-07-13,160.440002,163.960007,158.000000,160.940002,160.265961,479265
2022-07-14,159.600006,163.520004,153.520004,154.440002,153.793182,625121
2022-07-15,155.160004,160.960007,153.679993,160.960007,160.285889,660236
2022-07-18,161.600006,166.679993,161.100006,165.179993,164.488205,359066
2022-07-19,164.000000,175.919998,163.460007,175.919998,175.183228,869024
2022-07-20,176.559998,178.139999,171.860001,173.899994,173.171677,603905
2022-07-21,173.440002,175.119995,171.399994,175.080002,174.346741,358453
2022-07-22,174.820007,179.619995,174.000000,176.619995,175.880295,529734
2022-07-25,175.139999,178.800003,174.660004,176.020004,175.282806,295123
2022-07-26,174.800003,175.360001,169.419998,169.720001,169.009201,573987
2022-07-27,163.240005,165.360001,159.399994,161.059998,160.385452,1358617
2022-07-28,160.639999,167.880005,160.639999,166.339996,165.643341,683581
2022-07-29,164.820007,167.800003,162.880005,167.800003,167.097229,954280
2022-08-01,167.800003,173.179993,166.679993,170.919998,170.204163,616274
2022-08-02,170.419998,170.679993,165.000000,167.080002,166.380249,473777
2022-08-03,166.199997,171.279999,165.320007,171.000000,170.283829,533326
2022-08-04,170.240005,178.600006,170.139999,175.240005,174.506073,528099
2022-08-05,175.360001,178.059998,171.199997,171.559998,170.841476,483964
2022-08-08,173.000000,175.539993,172.320007,175.100006,174.366669,347828
2022-08-09,175.619995,176.199997,169.000000,169.000000,168.292206,588217
2022-08-10,167.339996,173.600006,164.119995,173.360001,172.633942,495610
2022-08-11,174.500000,176.039993,171.220001,172.020004,171.299561,311230
2022-08-12,171.899994,173.279999,170.139999,173.199997,172.474609,451156
2022-08-15,173.979996,174.960007,171.320007,172.940002,172.215714,223310
2022-08-16,173.000000,173.360001,170.039993,173.360001,172.633942,381856
2022-08-17,174.000000,176.139999,168.619995,169.100006,168.391800,486867
2022-08-18,169.880005,171.679993,166.080002,167.520004,166.818405,437516
2022-08-19,165.119995,168.199997,165.000000,165.600006,164.906448,570552
2022-08-22,164.300003,164.460007,156.619995,156.979996,156.322540,934988
2022-08-23,156.820007,159.960007,155.759995,156.300003,155.645401,646467
2022-08-24,155.500000,159.100006,153.520004,158.839996,158.174759,405098
2022-08-25,160.000000,160.360001,156.919998,158.000000,157.338272,350210
2022-08-26,159.419998,159.500000,150.460007,151.539993,150.905319,633008
2022-08-29,150.100006,151.600006,148.279999,148.279999,147.658981,605025
2022-08-30,149.039993,154.000000,147.800003,151.539993,150.905319,521746
2022-08-31,152.380005,152.619995,148.100006,148.279999,147.658981,648649
2022-09-01,146.699997,147.020004,143.660004,145.160004,144.552063,631030
2022-09-02,147.220001,149.119995,143.360001,148.279999,147.658981,618112
2022-09-05,144.059998,146.059998,142.440002,145.199997,144.591888,539463
2022-09-06,142.820007,146.740005,142.699997,144.360001,143.755402,490248
2022-09-07,143.000000,143.839996,140.020004,141.979996,141.385361,811122
2022-09-08,142.660004,143.500000,138.500000,142.360001,141.763779,739308
2022-09-09,142.279999,146.759995,141.759995,145.360001,144.751221,625105
2022-09-12,146.539993,151.639999,145.779999,149.220001,148.595047,565222
2022-09-13,151.160004,151.639999,142.899994,142.899994,142.301514,706808
2022-09-14,142.039993,144.759995,140.820007,142.300003,141.704041,584568
2022-09-15,141.679993,142.520004,135.779999,136.600006,136.027908,880409
2022-09-16,133.500000,135.639999,132.320007,135.139999,134.574020,2593823
2022-09-19,135.300003,138.399994,133.320007,136.699997,136.127487,536222
2022-09-20,137.600006,138.660004,134.100006,135.740005,135.171509,718571
2022-09-21,134.100006,137.080002,133.500000,136.479996,135.908401,566910
2022-09-22,133.000000,136.419998,132.779999,133.460007,132.901062,641834
2022-09-23,133.740005,134.380005,129.440002,130.960007,130.411530,855598
