"Timestamp","Which brand do you prefer for fashion apparel and footwear: Nike, Adidas or neither?","How would you rate the quality of Nike's fashion products? 5 is Highest and 1 is Lowest.","How would you rate the quality of Adidas's fashion products? 5 is Highest and 1 is Lowest.","How influential are a fashion brand's marketing campaigns and environmental impact in your decision to purchase their products?","Which brand, Nike or Adidas, do you believe has a stronger commitment to reducing environmental impact in their production process?","Which brand communicates their sustainability efforts more effectively: Nike or Adidas?","Considering all factors, including environmental impact and social responsibility, which brand do you perceive as more sustainable: Nike or adidas?","Write a review for your selection of brand between Nike & Adidas."
"2024/04/12 12:01:00 AM GMT+1","Nike","5","4","Influential for marketing campaigns; slightly for environmental impact","Nike","Nike","Nike","Nike shoes are comfortable. They use high-quality materials and construction to ensure that your feet are comfortable all day long.so I always selected the Nike it’s reduce foot and ankle pain. "
"2024/04/12 1:00:04 AM GMT+1","Adidas","3","5","Influential for marketing campaigns; slightly for environmental impact","Adidas","Adidas","Adidas","It's a trusted brand"
"2024/04/12 2:24:15 AM GMT+1","Neither","2","2","Slightly influential for both","","Adidas","Adidas",""
"2024/04/12 2:47:18 AM GMT+1","Nike","4","3","Influential for marketing campaigns; slightly for environmental impact","Nike","Nike","Nike","Nike has the best reliable sneakers "
"2024/04/12 3:05:49 AM GMT+1","Nike","5","5","Influential for environmental impact; slightly for marketing campaigns","Nike","Nike","Nike","Nike is best brand "
"2024/04/12 3:13:44 AM GMT+1","Nike","3","2","Moderately influential for both","Nike","Adidas","Nike",""
"2024/04/12 3:38:53 AM GMT+1","Nike","5","5","Moderately influential for both","Nike","Nike","Nike",""
"2024/04/12 3:56:47 AM GMT+1","Neither","3","3","Slightly influential for both","Adidas","Adidas","Adidas","Adidas keeps coming with new marketing campaigns which impress its audience to buy thier product"
"2024/04/12 5:20:29 AM GMT+1","Adidas","4","5","Very influential for both","Adidas","Adidas","","Adidas"
"2024/04/12 5:37:27 AM GMT+1","Nike","3","3","Influential for marketing campaigns; slightly for environmental impact","Nike","Nike","Nike","Nike"
"2024/04/12 5:39:16 AM GMT+1","Adidas","3","4","Influential for marketing campaigns; slightly for environmental impact","Adidas","Adidas","Adidas",""
"2024/04/12 5:48:25 AM GMT+1","Adidas","4","5","Moderately influential for both","Adidas","Adidas","Adidas","Best quality adidas"
"2024/04/12 5:51:29 AM GMT+1","Adidas","4","4","Influential for marketing campaigns; slightly for environmental impact","Adidas","Adidas","Adidas",""
"2024/04/12 5:55:32 AM GMT+1","Nike","5","2","Influential for environmental impact; slightly for marketing campaigns","Nike","Nike","Nike","Good quality"
"2024/04/12 6:01:59 AM GMT+1","Adidas","5","5","Slightly influential for both","Nike","Adidas","Adidas","Fit for style and perfection of person s personality "
"2024/04/12 7:27:54 AM GMT+1","Nike","5","3","Moderately influential for both","Nike","Nike","Nike","Simply superb "
"2024/04/12 7:31:27 AM GMT+1","Nike","5","5","Influential for environmental impact; slightly for marketing campaigns","","Nike","Nike","Nike "
"2024/04/12 9:09:53 AM GMT+1","Nike","4","3","Moderately influential for both","Nike","Nike","Nike",""
"2024/04/12 9:59:40 AM GMT+1","Nike","5","5","Very influential for both","Nike","Nike","Nike","Nike is best for comfort, looking and logo is very awesome "
"2024/04/12 10:02:06 AM GMT+1","Adidas","5","5","Very influential for both","Adidas","Adidas","Adidas","I like Adidas product from childhood to till.its very super duper brand for my perception "
"2024/04/12 10:28:07 AM GMT+1","Nike","5","3","Influential for environmental impact; slightly for marketing campaigns","Nike","Nike","Nike","I find Nike towards more emotional marketing including environment and as a lifestyle brand..!"
"2024/04/12 10:34:05 AM GMT+1","Nike","4","3","Moderately influential for both","Nike","Nike","Nike",""
"2024/04/12 12:02:24 PM GMT+1","Nike","5","5","Influential for marketing campaigns; slightly for environmental impact","Nike","Nike","Nike","Nike is the brand which i will prefer just because of branding"
"2024/04/12 2:55:38 PM GMT+1","Nike","4","3","Influential for marketing campaigns; slightly for environmental impact","Nike","Nike","Nike","According to me, Nike has shown more stronger commitment on reducing the environmental impact than adidas. "
"2024/04/12 4:04:45 PM GMT+1","Nike","4","3","Moderately influential for both","Nike","Nike","Nike",""
"2024/04/12 5:22:49 PM GMT+1","Adidas","4","4","Very influential for both","Adidas","Adidas","Adidas",""
"2024/04/12 6:56:53 PM GMT+1","Nike","5","5","Very influential for both","","","",""
"2024/04/12 7:17:32 PM GMT+1","Nike","4","4","Moderately influential for both","Nike","Nike","Nike","Nike"
"2024/04/12 7:43:56 PM GMT+1","Nike","4","4","Moderately influential for both","Nike","Nike","Nike","NA"
"2024/04/12 7:57:05 PM GMT+1","Nike","4","4","Moderately influential for both","Nike","Nike","Nike",""
"2024/04/12 8:02:29 PM GMT+1","Nike","5","3","Moderately influential for both","Nike","Nike","Adidas","Nike is simply suberp ever green product "
"2024/04/12 8:18:08 PM GMT+1","Nike","4","4","Very influential for both","Nike","Adidas","Adidas","Adidas is good compare to Nike "
"2024/04/12 8:28:31 PM GMT+1","Neither","3","3","Influential for environmental impact; slightly for marketing campaigns","Nike","Nike","Nike",""
"2024/04/12 8:32:36 PM GMT+1","Nike","5","4","Influential for marketing campaigns; slightly for environmental impact","Nike","Nike","Nike",""
"2024/04/12 8:43:47 PM GMT+1","Adidas","5","3","Moderately influential for both","Adidas","Adidas","Adidas",""
"2024/04/13 5:20:16 AM GMT+1","Nike","5","5","Influential for marketing campaigns; slightly for environmental impact","Nike","Nike","Nike","Nike. They are flexible. Easy to use."
"2024/04/13 5:35:08 AM GMT+1","Nike","5","3","Moderately influential for both","Nike","Nike","Nike","Nike! I absolutely love their brand! Their shoes are super stylish&Comfortable."
"2024/04/13 6:00:01 AM GMT+1","Adidas","","5","Very influential for both","Adidas","Adidas","Adidas","Adidas - nice collection, more comfortable "
"2024/04/13 7:54:06 AM GMT+1","Nike","4","3","Moderately influential for both","Nike","Nike","Nike",""
"2024/04/15 1:42:11 PM GMT+1","Nike","5","4","Moderately influential for both","Nike","Nike","Nike",""
"2024/04/15 1:59:11 PM GMT+1","Adidas","4","4","Influential for environmental impact; slightly for marketing campaigns","Adidas","Adidas","Adidas",""
"2024/04/15 2:17:43 PM GMT+1","Adidas","5","5","Very influential for both","Adidas","Adidas","Adidas",""
"2024/04/15 2:48:15 PM GMT+1","Adidas","4","5","Very influential for both","Adidas","Adidas","Adidas","It's comfortable "
"2024/04/15 3:10:08 PM GMT+1","Adidas","2","5","Moderately influential for both","Adidas","Adidas","Adidas",""
"2024/04/15 3:13:59 PM GMT+1","Nike","4","3","Influential for marketing campaigns; slightly for environmental impact","Nike","Nike","Nike",""
"2024/04/15 3:45:00 PM GMT+1","Adidas","5","5","Moderately influential for both","Adidas","Adidas","Adidas","The high quality, comfort, different styles of adidas footwear. And very wide range of footwear option for different as well as lifestyle shoes"
"2024/04/15 3:49:06 PM GMT+1","Adidas","5","5","Moderately influential for both","Adidas","Adidas","Adidas","It's styles, comfort, variety of footwear and good quality of footwear"
"2024/04/15 4:28:27 PM GMT+1","Nike","4","3","Moderately influential for both","Nike","Nike","Nike","Nike is most comfortable brand i"
"2024/04/15 6:51:14 PM GMT+1","Nike","5","4","Influential for environmental impact; slightly for marketing campaigns","Nike","Nike","Nike","Nike I chose because their sustainable practices are good and consistent as compare to adidas."
"2024/04/15 7:01:51 PM GMT+1","Adidas","3","3","Moderately influential for both","Adidas","Adidas","Nike","both are nice products depends upon choice of person "
